method,time_s,n_components,silhouette,davies_bouldin,calinski_harabasz,knn_cv_mean,knn_cv_std,top_features_dim1,top_features_dim2
PCA,0.00392891705268994,2,0.011170691456889925,12.094013432657727,61.70262276087739,0.49160406956775526,0.013449014594759025,"['F4', 'AF4']","['F7', 'FC5']"
ICA,0.8504912079661153,2,0.010969446679050287,12.87168286445481,55.6973689426566,0.49109823873919567,0.012576222960554521,"['F4', 'AF4']","['O2', 'F7']"
LDA,0.02884604100836441,1,0.13018782738870785,1.801120802528017,2135.048233585352,0.6307299702630413,0.05516038745739998,"['P7', 'AF3']",
CSP,0.006399791978765279,2,0.03896084682496449,7.036200986119403,178.93546408194644,0.6081090604295577,0.07749266780416983,"['AF4', 'O2']","['O1', 'F8']"
t-SNE,60.09266324999044,2,0.015076148323714733,51.61962918991592,3.8256446215816524,0.49532380540532844,0.07403398248582259,,
UMAP,31.652130667003803,2,0.04356192424893379,11.08273839047469,77.98843361408787,0.5067247169116273,0.09758497015141328,,
