Method,Time (s),Silhouette,Davies‑Bouldin,Calinski‑Harabasz,KNN‑Acc (5‑CV),Embedding shape
PCA,0.0742177963256836,0.011170691456889925,12.094013432657727,61.70262276087739,0.5500714861538955,"(11853, 2)"
ICA,0.23080015182495117,0.010969446679050289,12.871682864454815,55.697368942656595,0.548216120599295,"(11853, 2)"
LDA,0.03537106513977051,0.13018782738870785,1.801120802528017,2135.048233585352,0.6382345749536862,"(11853, 1)"
CSP,0.04689931869506836,0.02185059872940121,9.277146711530621,104.8093467631873,0.6405127712318504,"(11853, 2)"
tSNE,95.98155498504639,0.023017212748527527,12.932479431556189,60.95297194404054,0.9475243225543531,"(11853, 2)"
UMAP,28.422404050827026,0.04356192424893379,11.08273839047469,77.98843361408787,0.9077028866738918,"(11853, 2)"
