model,n_parameters,selected_gamma,best_threshold,precision,recall,f1,f0_5,balanced_accuracy,roc_auc,false_alarms_per_hour_window_level,latency_ms_per_sample
CNN_BiLSTM_Attention,28962,1.5,0.78,0.06796116504854369,0.4861111111111111,0.11925042589437819,0.08208255159458355,0.5077614379084967,0.5043028322440087,101274.72527472528,0.28901968804621325
EEGNet_Plus,22341,1.0,0.58,0.011061946902654867,0.06944444444444445,0.019083969465648856,0.013297872340241374,0.3156045751633987,0.34915577342047927,94312.08791208791,0.6233517395250581
EEGNet,2441,1.5,0.52,0.0,0.0,0.0,0.0,0.5,0.5367442810457517,0.0,0.19927564010556256
TCFormer,163796,2.0,0.65,0.0,0.0,0.0,0.0,0.3352941176470588,0.2979847494553377,70892.3076923077,0.6270967040129087
