family,variant,selected_threshold,brier,log_loss,ece,mean_pred,observed_rate,accuracy,balanced_accuracy,precision,recall,f1,f0_5,roc_auc,tn,fp,fn,tp,false_alarms_per_hour_window_level,processed_prob_mean,threshold_low,postprocess_smoothing,postprocess_hysteresis
Tabular_BestChrono,raw,0.88,0.3106172572923186,0.991915318965092,0.3961929187033831,0.4546497375335596,0.0814419225634179,0.8989764129951046,0.5316709556487482,0.21794871794871795,0.09289617486338798,0.13026819923371646,0.17171717171600662,0.542566823399839,2003,61,166,17,6254.739652870494,0.45402194774653676,0.8,True,True
Tabular_BestChrono,platt_scaled,0.55,0.12654876302900733,0.4278398142127011,0.21340025143835856,0.2948421740017765,0.0814419225634179,0.9083222073876279,0.4944282945736434,0.0,0.0,0.0,0.0,0.542566823399839,2041,23,183,0,2358.344459279039,0.29470007358739675,0.47000000000000003,True,True
Deep_CNN_BiLSTM_Attention,raw,0.78,0.5051602024951839,1.3559706373631546,0.6373976631083222,0.7033317290423882,0.06593406593406594,0.5265567765567766,0.5077614379084967,0.06796116504854369,0.4861111111111111,0.11925042589437819,0.08208255159458355,0.5043028322440087,540,480,37,35,101274.72527472528,0.7036300702575394,0.7000000000000001,True,True
Deep_CNN_BiLSTM_Attention,platt_scaled,0.52,0.24157807266677547,0.6684865138769768,0.39501005058615934,0.46094411652022527,0.06593406593406594,0.5476190476190477,0.5061274509803921,0.06762295081967214,0.4583333333333333,0.11785714285714285,0.08152173913026324,0.5043028322440087,565,455,39,33,96000.0,0.4612836433572712,0.44,True,True
