,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,KNN Accuracy,Variance Explained,Time (s)
PCA,0.011170691456889925,12.094013432657727,61.70262276087739,0.545556805399325,0.577004229683327,0.008112907409667969
LDA,0.13018782738870785,1.8011208025280203,2135.0482335853435,0.6518560179977503,1.0,0.0431978702545166
ICA,0.010969446679050287,12.871682864454788,55.6973689426568,0.5399325084364455,N/A,0.46837401390075684
CSP,0.06332191551666312,3.2405485700780905,765.2733928914889,0.6445444319460067,,0.4984886646270752
t-SNE,0.023017212748527527,12.932479431556189,60.95297194404054,0.9446006749156356,,94.54451370239258
UMAP,0.04356192424893379,11.08273839047469,77.98843361408787,0.9139482564679415,,24.315853118896484
