fold,train_start,train_end,val_start,val_end,train_closed_rate,val_closed_rate,val_n_classes,roc_auc_defined,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
1,0,7489,7490,8987,0.5340453938584779,1.0,1,False,0.6869158878504673,0.6869158878504673,1.0,0.6869158878504673,0.814404432132964,
2,0,8987,8988,10485,0.611704494882065,0.044058744993324434,2,True,0.11348464619492657,0.4712734890807517,0.04142441860465116,0.8636363636363636,0.07905686546463246,0.3422263839512442
3,0,10485,10486,11983,0.5306122448979592,0.5867823765020027,2,True,0.5841121495327103,0.530696506714746,0.6050903119868637,0.838452787258248,0.7029089175011922,0.6130176198904248
4,0,11983,11984,13481,0.5376335113484646,0.12483311081441922,2,True,0.49265687583444595,0.6138637689317458,0.16801853997682503,0.7754010695187166,0.2761904761904762,0.6828930032591359
5,0,13481,13482,14979,0.4917668001780151,0.062082777036048066,2,True,0.6622162883845126,0.4785367160295412,0.05399568034557235,0.26881720430107525,0.08992805755395683,0.3837599969387364
