epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_f0_5,val_roc_auc,val_false_alarms_per_hour,val_best_threshold,lr,focal_gamma,swa_active
1,0.16319123549120768,0.1626312553882599,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.5539724921289761,0.0,0.55,0.0003,1.0,False
2,0.16147153079509735,0.15704384744167327,0.5888278388278388,0.5433042014982087,0.7671232876712328,0.11475409836065574,0.19964349376114082,0.3589743589731879,0.5564338834002822,3586.813186813187,0.52,0.0003,1.0,False
3,0.15777411205427988,0.15836673676967622,0.5998168498168498,0.5552057322766258,0.8148148148148148,0.13524590163934427,0.23198594024604569,0.4064039408855005,0.5514059276951471,3164.835164835165,0.58,0.0003,1.0,False
4,0.15646647413571677,0.15655973851680755,0.5686813186813187,0.5239116274020194,0.6024096385542169,0.10245901639344263,0.17513134851138354,0.3048780487792831,0.5554025078710239,6962.6373626373625,0.58,0.0003,1.0,False
5,0.15687564512093863,0.1546187222003937,0.5714285714285714,0.5273789490826186,0.6111111111111112,0.11270491803278689,0.1903114186851211,0.3242924528289672,0.5671988654869178,7384.615384615384,0.58,0.0003,1.0,False
6,0.15483800995917546,0.15597371757030487,0.5815018315018315,0.5425849527738573,0.6099290780141844,0.1762295081967213,0.27344992050874406,0.4087452471470456,0.5677773178807947,11604.395604395604,0.58,0.0003,1.0,False
7,0.1533052772283554,0.15451197624206542,0.5695970695970696,0.5339878949082619,0.5511363636363636,0.1987704918032787,0.2921686746987952,0.4068791946296636,0.5818891814135274,16668.13186813187,0.58,0.0003,1.0,False
8,0.149523872704733,0.15637196004390716,0.5714285714285714,0.5370209532081207,0.5531914893617021,0.21311475409836064,0.3076923076923077,0.4193548387084841,0.5813158180436434,17723.076923076926,0.58,0.0003,1.0,False
9,0.1523472468058268,0.15675663948059082,0.5723443223443223,0.5378487677776571,0.5561497326203209,0.21311475409836064,0.30814814814814817,0.4207119741088377,0.5787950548257519,17512.08791208791,0.58,0.0003,1.0,False
10,0.1506831780785606,0.15526057928800582,0.5723443223443223,0.5307648463793291,0.591304347826087,0.13934426229508196,0.22553897180762852,0.35864978902828704,0.5778892085549886,9916.483516483517,0.6,0.0003,1.0,False
11,0.14973511866160802,0.15381370335817338,0.5778388278388278,0.5361252849853436,0.6194690265486725,0.14344262295081966,0.23294509151414308,0.3723404255306667,0.5851665128650527,9072.527472527472,0.6,0.0003,1.0,False
12,0.1456014293999899,0.16000137329101563,0.576007326007326,0.5346664314406688,0.6068376068376068,0.14549180327868852,0.23471074380165288,0.3713389121326418,0.577339593963739,9705.494505494506,0.62,0.0003,1.0,False
