threshold,accuracy,balanced_accuracy,precision,recall,f1,f0_5,roc_auc,tn,fp,fn,tp,false_alarms_per_hour_window_level,processed_prob_mean,threshold_low,postprocess_smoothing,postprocess_hysteresis
0.1,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.6115378351970471,0,604,0,488,127437.36263736265,0.5410739021896608,0.020000000000000004,True,True
0.12,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.6115378351970471,0,604,0,488,127437.36263736265,0.5410739021896608,0.039999999999999994,True,True
0.15,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.6115378351970471,0,604,0,488,127437.36263736265,0.5410739021896608,0.06999999999999999,True,True
0.18,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.6115378351970471,0,604,0,488,127437.36263736265,0.5410739021896608,0.09999999999999999,True,True
0.2,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.6115378351970471,0,604,0,488,127437.36263736265,0.5410739021896608,0.12000000000000001,True,True
0.22,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.6115378351970471,0,604,0,488,127437.36263736265,0.5410739021896608,0.14,True,True
0.25,0.4551282051282051,0.5068600043426338,0.4503249767873723,0.9938524590163934,0.6198083067092651,0.5056296914090509,0.6115378351970471,12,592,3,485,124905.4945054945,0.5410739021896608,0.16999999999999998,True,True
0.28,0.4532967032967033,0.5000882097492129,0.4469328140214216,0.9405737704918032,0.6059405940594059,0.4993472584851651,0.6115378351970471,36,568,29,459,119841.75824175825,0.5410739021896608,0.2,True,True
0.3,0.45787545787545786,0.504030507002497,0.44901960784313727,0.9385245901639344,0.6074270557029178,0.5013134851133583,0.6115378351970471,42,562,30,458,118575.82417582416,0.5410739021896608,0.21999999999999997,True,True
0.32,0.45604395604395603,0.5009974487026382,0.44742063492063494,0.9241803278688525,0.6029411764705882,0.4988938053092529,0.6115378351970471,47,557,37,451,117520.87912087911,0.5410739021896608,0.24,True,True
0.35,0.4606227106227106,0.5043494191727282,0.4492462311557789,0.9159836065573771,0.602832097100472,0.5002238137864429,0.6115378351970471,56,548,41,447,115621.97802197802,0.5410739021896608,0.26999999999999996,True,True
0.38,0.4807692307692308,0.5217742373249376,0.45906735751295336,0.9077868852459017,0.6097728836889195,0.5094296228145893,0.6115378351970471,82,522,45,443,110136.26373626375,0.5410739021896608,0.3,True,True
0.4,0.4945054945054945,0.533404353490392,0.46602972399150744,0.8995901639344263,0.6139860139860139,0.5157424812024999,0.6115378351970471,101,503,49,439,106127.47252747252,0.5410739021896608,0.32,True,True
0.43,0.5,0.5342389534252524,0.46756152125279643,0.8565573770491803,0.6049204052098408,0.5142716535427788,0.6115378351970471,128,476,70,418,100430.76923076923,0.5410739021896608,0.35,True,True
0.45,0.4981684981684982,0.5294349147758115,0.4652777777777778,0.8237704918032787,0.5946745562130178,0.5096348884375917,0.6115378351970471,142,462,86,402,97476.92307692308,0.5410739021896608,0.37,True,True
0.48,0.4981684981684982,0.5243187493214634,0.4630541871921182,0.7704918032786885,0.5784615384615385,0.5032119914341218,0.6115378351970471,168,436,112,376,91991.2087912088,0.5410739021896608,0.39999999999999997,True,True
0.5,0.5210622710622711,0.542062479643904,0.47688243064729197,0.7397540983606558,0.5799196787148594,0.5133674630255685,0.6115378351970471,208,396,127,361,83551.64835164834,0.5410739021896608,0.42,True,True
0.52,0.5338827838827839,0.55109380089024,0.48535564853556484,0.7131147540983607,0.5775933609958506,0.5184743742544442,0.6115378351970471,235,369,140,348,77854.94505494506,0.5410739021896608,0.44,True,True
0.55,0.5659340659340659,0.5737704918032787,0.511326860841424,0.6475409836065574,0.5714285714285714,0.5337837837830954,0.6115378351970471,302,302,172,316,63718.68131868132,0.5410739021896608,0.47000000000000003,True,True
0.58,0.5906593406593407,0.5917924221040061,0.5374771480804388,0.6024590163934426,0.5681159420289855,0.5493273542593441,0.6115378351970471,351,253,194,294,53380.219780219784,0.5410739021896608,0.49999999999999994,True,True
0.6,0.5970695970695971,0.5954225925523831,0.5463320463320464,0.5799180327868853,0.562624254473161,0.5527343749992286,0.6115378351970471,369,235,205,283,49582.41758241758,0.5410739021896608,0.52,True,True
0.62,0.6208791208791209,0.6155683421995439,0.5774058577405857,0.5655737704918032,0.5714285714285714,0.57499999999919,0.6115378351970471,402,202,212,276,42619.78021978022,0.5410739021896608,0.54,True,True
0.65,0.6602564102564102,0.6460482032352621,0.6527415143603134,0.5122950819672131,0.574052812858783,0.6188118811872028,0.6115378351970471,471,133,238,250,28061.53846153846,0.5410739021896608,0.5700000000000001,True,True
0.68,0.6181318681318682,0.5967525241559005,0.6126984126984127,0.39549180327868855,0.4806973848069738,0.5520594965664996,0.6115378351970471,482,122,295,193,25740.659340659342,0.5410739021896608,0.6000000000000001,True,True
0.7,0.6007326007326007,0.5761046574747585,0.5915492957746479,0.3442622950819672,0.43523316062176165,0.5172413793092939,0.6115378351970471,488,116,320,168,24474.725274725275,0.5410739021896608,0.62,True,True
0.72,0.5934065934065934,0.565940180219303,0.5859375,0.3073770491803279,0.4032258064516129,0.49603174603065314,0.6115378351970471,498,106,338,150,22364.835164835164,0.5410739021896608,0.64,True,True
0.75,0.5732600732600732,0.5406443382911736,0.5533980582524272,0.2336065573770492,0.3285302593659942,0.43445121951102716,0.6115378351970471,512,92,374,114,19410.98901098901,0.5410739021896608,0.67,True,True
0.78,0.5631868131868132,0.5254383345999348,0.535483870967742,0.17008196721311475,0.2581648522550544,0.3745487364608616,0.6115378351970471,532,72,405,83,15191.208791208792,0.5410739021896608,0.7000000000000001,True,True
0.8,0.5384615384615384,0.49226468353056124,0.3888888888888889,0.05737704918032787,0.1,0.18041237113285366,0.6115378351970471,560,44,460,28,9283.516483516483,0.5410739021896608,0.7200000000000001,True,True
0.82,0.5457875457875457,0.4982968733036587,0.43103448275862066,0.05122950819672131,0.09157509157509157,0.17361111111001912,0.6115378351970471,571,33,463,25,6962.6373626373625,0.5410739021896608,0.74,True,True
0.85,0.5421245421245421,0.4926243078927369,0.34210526315789475,0.02663934426229508,0.049429657794676805,0.10156249999909452,0.6115378351970471,579,25,475,13,5274.725274725274,0.5410739021896608,0.77,True,True
0.88,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.6115378351970471,604,0,488,0,0.0,0.5410739021896608,0.8,True,True
0.9,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.6115378351970471,604,0,488,0,0.0,0.5410739021896608,0.8200000000000001,True,True
