metric,mean,std,min,max
accuracy,0.5078771695594126,0.233165348114499,0.11348464619492657,0.6869158878504673
balanced_accuracy,0.5562572737214504,0.09260975014313855,0.4712734890807517,0.6869158878504673
precision,0.3737057901827824,0.41854388757582206,0.04142441860465116,1.0
recall,0.6866446625129742,0.24332556749589462,0.26881720430107525,0.8636363636363636
f1,0.3924977497686443,0.3455724707511108,0.07905686546463246,0.814404432132964
roc_auc,0.5054742510098853,0.16783644378099044,0.3422263839512442,0.6828930032591359
