model,cv_best_roc_auc,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
XGBoost,0.9832532980555589,0.9412550066755674,0.9402223277995312,0.9384846211552889,0.9301115241635688,0.9342793129200896,0.9840218499996624
RandomForest,0.9759915563573822,0.9242323097463284,0.9217455231593334,0.9313271604938271,0.8973977695167287,0.9140477092010602,0.9772189435714301
HistGradientBoosting,0.9672484617556858,0.9055407209612817,0.9033391951256307,0.9053435114503817,0.8817843866171003,0.8934086629001883,0.9678293430364385
LogisticRegression,0.6385917017968368,0.6001335113484646,0.5826204238053314,0.5766423357664233,0.4111524163568773,0.4800347222222222,0.6326263906745714
