model,n_parameters,selected_gamma,best_epoch,best_val_score,best_threshold,pretrain_loaded,pretrain_tensors,accuracy,balanced_accuracy,precision,recall,f1,f0_5,roc_auc,tn,fp,fn,tp,false_alarms_per_hour_window_level,processed_prob_mean,threshold_low,postprocess_smoothing,postprocess_hysteresis,loss,mean_batch_time_ms,latency_ms_per_sample,tta_enabled,oom_during_benchmark
CNN_BiLSTM_Attention,28962,1.5,18,0.6619835583054008,0.78,False,0,0.5265567765567766,0.5077614379084967,0.06796116504854369,0.4861111111111111,0.11925042589437819,0.08208255159458355,0.5043028322440087,540,480,37,35,101274.72527472528,0.7036300702575394,0.7000000000000001,True,True,0.496488094329834,17.533861074803607,0.28901968804621325,False,False
EEGNet_Plus,22341,1.0,75,0.692314272881511,0.58,False,0,0.5293040293040293,0.3156045751633987,0.011061946902654867,0.06944444444444445,0.019083969465648856,0.013297872340241374,0.34915577342047927,573,447,67,5,94312.08791208791,0.49863378488535337,0.49999999999999994,True,True,0.3160302221775055,37.81667219785353,0.6233517395250581,False,False
EEGNet,2441,1.5,2,0.725853155831226,0.52,False,0,0.9340659340659341,0.5,0.0,0.0,0.0,0.0,0.5367442810457517,1020,0,72,0,0.0,0.4702883864032801,0.44,True,True,0.11195553690195084,12.089388833070794,0.19927564010556256,False,False
TCFormer,163796,2.0,52,0.6159022627911406,0.65,False,0,0.6263736263736264,0.3352941176470588,0.0,0.0,0.0,0.0,0.2979847494553377,684,336,72,0,70892.3076923077,0.5186751757046244,0.5700000000000001,True,True,0.1709597110748291,38.04386671011647,0.6270967040129087,False,False
