model,variant,threshold,use_prob_smoothing,use_hysteresis,accuracy,balanced_accuracy,precision,recall,f1,f0_5,roc_auc,tn,fp,fn,tp,false_alarms_per_hour_window_level,processed_prob_mean,threshold_low,postprocess_smoothing,postprocess_hysteresis
CNN_BiLSTM_Attention,raw_thr_0.50,0.5,False,False,0.22985347985347984,0.5812908496732027,0.07793633369923161,0.9861111111111112,0.14445574771108852,0.09553283100098141,0.5043028322440087,180,840,1,71,177230.76923076925,0.7033317290423882,0.42,False,False
CNN_BiLSTM_Attention,raw_best_thr,0.78,False,False,0.5164835164835165,0.5088235294117647,0.06818181818181818,0.5,0.12,0.082417582417423,0.5043028322440087,528,492,36,36,103806.59340659341,0.7033317290423882,0.7000000000000001,False,False
CNN_BiLSTM_Attention,best_thr_plus_smoothing_hyst,0.78,True,True,0.5265567765567766,0.5077614379084967,0.06796116504854369,0.4861111111111111,0.11925042589437819,0.08208255159458355,0.5043028322440087,540,480,37,35,101274.72527472528,0.7036300702575394,0.7000000000000001,True,True
CNN_BiLSTM_Attention,best_thr_plus_smoothing,0.78,True,False,0.5915750915750916,0.47802287581699343,0.0589622641509434,0.3472222222222222,0.10080645161290322,0.07070135746586803,0.5043028322440087,621,399,47,25,84184.61538461538,0.7036300702575394,0.7000000000000001,True,False
