epoch,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_f0_5,val_roc_auc,val_false_alarms_per_hour,val_best_threshold,lr,focal_gamma,swa_active
1,0.11500126300823121,0.11470184177160263,0.5531135531135531,0.5,0.0,0.0,0.0,0.0,0.4890552057322767,0.0,0.55,0.0003,1.5,False
2,0.11376831396704629,0.11289306581020356,0.8003663003663004,0.7766393442622951,1.0,0.5532786885245902,0.712401055408971,0.8609693877540302,0.5231788079470199,0.0,0.52,0.0003,1.5,False
3,0.11151230973856789,0.11232097297906876,0.7445054945054945,0.7196490609054391,0.8943396226415095,0.48565573770491804,0.6294820717131474,0.7655038759679131,0.5441727282596894,5907.692307692308,0.52,0.0003,1.5,False
4,0.11136935686781294,0.11040681451559067,0.706959706959707,0.6776408641841276,0.875,0.4016393442622951,0.550561797752809,0.7080924855479916,0.5732395369666703,5907.692307692308,0.52,0.0003,1.5,False
5,0.10989791403214137,0.10960682779550553,0.5787545787545788,0.53301758766692,0.6944444444444444,0.10245901639344263,0.17857142857142858,0.3221649484524413,0.5848509933774835,4641.758241758242,0.55,0.0003,1.5,False
6,0.10919152696927388,0.1090454876422882,0.5833333333333334,0.5383373140809901,0.7088607594936709,0.11475409836065574,0.19753086419753085,0.34825870646646895,0.5900367088264031,4852.747252747253,0.55,0.0003,1.5,False
7,0.1072227642649696,0.10957766622304917,0.5824175824175825,0.5445934209097818,0.6052631578947368,0.1885245901639344,0.2875,0.41970802919584527,0.5828662740201932,12659.34065934066,0.55,0.0003,1.5,False
8,0.10783507852327257,0.11009447574615479,0.5970695970695971,0.5615771903159266,0.6379310344827587,0.22745901639344263,0.33534743202416917,0.4687499999987887,0.5828662740201932,13292.307692307693,0.55,0.0003,1.5,False
9,0.10798944674787067,0.10787667483091354,0.5686813186813187,0.5290277928563674,0.562962962962963,0.1557377049180328,0.24398073836276082,0.369649805446224,0.5974514167842797,12448.351648351649,0.55,0.0003,1.5,False
10,0.10692614210503441,0.1089288592338562,0.6007326007326007,0.5654787753772663,0.6477272727272727,0.2336065573770492,0.3433734939759036,0.4781879194618783,0.5941164097274998,13081.31868131868,0.55,0.0003,1.5,False
11,0.10599584025996071,0.10879667997360229,0.6025641025641025,0.5673311801107371,0.6534090909090909,0.23565573770491804,0.3463855421686747,0.4823825503343615,0.5900282271197481,12870.329670329671,0.55,0.0003,1.5,False
12,0.1055942429673104,0.10770015120506286,0.6034798534798534,0.5679622190858756,0.6589595375722543,0.2336065573770492,0.34493192133131617,0.4830508474564145,0.6009221311475409,12448.351648351649,0.55,0.00015,1.5,False
13,0.10645811933846701,0.10892837643623351,0.5924908424908425,0.5594058734122245,0.6080402010050251,0.24795081967213115,0.3522561863173217,0.47118380062187487,0.5946422755401151,16457.142857142855,0.55,0.00015,1.5,False
14,0.10424090283257621,0.10873761475086212,0.5897435897435898,0.5565288785148192,0.601010101010101,0.24385245901639344,0.3469387755102041,0.46484374999882055,0.5926422891108457,16668.13186813187,0.55,0.00015,1.5,False
15,0.10478436059895016,0.10789723843336105,0.6071428571428571,0.5720605797416133,0.6666666666666666,0.24180327868852458,0.3548872180451128,0.49331103678808996,0.599931467810227,12448.351648351649,0.55,0.00015,1.5,False
16,0.10574689081736974,0.10875661820173263,0.5915750915750916,0.5587748344370861,0.6039603960396039,0.25,0.3536231884057971,0.4706790123445052,0.5950867169688416,16879.12087912088,0.55,0.00015,1.5,False
17,0.10388145028125673,0.10748226642608642,0.6043956043956044,0.568790033655412,0.6627906976744186,0.2336065573770492,0.34545454545454546,0.48469387754980653,0.599351319075019,12237.362637362638,0.55,0.00015,1.5,False
18,0.10577647636334102,0.10769710838794708,0.5924908424908425,0.5590123222234286,0.6102564102564103,0.24385245901639344,0.3484626647144949,0.46924290220701825,0.5998466507436762,16035.164835164836,0.55,0.00015,1.5,False
19,0.10403779220013391,0.1070481076836586,0.608058608058608,0.5728883943111497,0.6704545454545454,0.24180327868852458,0.35542168674698793,0.49496644295181114,0.6043283845402236,12237.362637362638,0.55,0.00015,1.5,False
20,0.10452505910680407,0.1067348837852478,0.6098901098901099,0.5747407990446206,0.6761363636363636,0.24385245901639344,0.35843373493975905,0.4991610738242944,0.608592986646401,12026.373626373626,0.55,0.00015,1.5,False
