threshold,accuracy,balanced_accuracy,precision,recall,f1,f0_5,roc_auc,tn,fp,fn,tp,false_alarms_per_hour_window_level,processed_prob_mean,threshold_low,postprocess_smoothing,postprocess_hysteresis
0.1,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.6827366735425036,0,604,0,488,127437.36263736265,0.6867128599370499,0.020000000000000004,True,True
0.12,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.6827366735425036,0,604,0,488,127437.36263736265,0.6867128599370499,0.039999999999999994,True,True
0.15,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.6827366735425036,0,604,0,488,127437.36263736265,0.6867128599370499,0.06999999999999999,True,True
0.18,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.6827366735425036,0,604,0,488,127437.36263736265,0.6867128599370499,0.09999999999999999,True,True
0.2,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.6827366735425036,0,604,0,488,127437.36263736265,0.6867128599370499,0.12000000000000001,True,True
0.22,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.6827366735425036,0,604,0,488,127437.36263736265,0.6867128599370499,0.14,True,True
0.25,0.4468864468864469,0.5,0.4468864468864469,1.0,0.6177215189873417,0.5024711696865332,0.6827366735425036,0,604,0,488,127437.36263736265,0.6867128599370499,0.16999999999999998,True,True
0.28,0.45604395604395603,0.5082781456953642,0.4510166358595194,1.0,0.621656050955414,0.5066445182719699,0.6827366735425036,10,594,0,488,125327.47252747252,0.6867128599370499,0.2,True,True
0.3,0.45879120879120877,0.5107615894039735,0.4522706209453197,1.0,0.6228462029355456,0.5079100749370957,0.6827366735425036,13,591,0,488,124694.50549450549,0.6867128599370499,0.21999999999999997,True,True
0.32,0.4606227106227106,0.5124172185430463,0.4531104921077066,1.0,0.6236421725239617,0.5087572977476664,0.6827366735425036,15,589,0,488,124272.52747252746,0.6867128599370499,0.24,True,True
0.35,0.4642857142857143,0.515728476821192,0.4547996272134203,1.0,0.6252402306213966,0.5104602510455668,0.6827366735425036,19,585,0,488,123428.57142857142,0.6867128599370499,0.26999999999999996,True,True
0.38,0.48534798534798534,0.5347682119205298,0.46476190476190476,1.0,0.6345903771131339,0.5204778156991924,0.6827366735425036,42,562,0,488,118575.82417582416,0.6867128599370499,0.3,True,True
0.4,0.5009157509157509,0.548841059602649,0.4724104549854792,1.0,0.6416831032215647,0.5281385281380556,0.6827366735425036,59,545,0,488,114989.01098901099,0.6867128599370499,0.32,True,True
0.43,0.5128205128205128,0.5596026490066225,0.47843137254901963,1.0,0.6472148541114059,0.5341506129592426,0.6827366735425036,72,532,0,488,112246.15384615384,0.6867128599370499,0.35,True,True
0.45,0.5192307692307693,0.5653973509933775,0.4817374136229023,1.0,0.6502331778814124,0.5374449339202252,0.6827366735425036,79,525,0,488,110769.23076923077,0.6867128599370499,0.37,True,True
0.48,0.554945054945055,0.595714363261318,0.5010482180293501,0.9795081967213115,0.6629680998613038,0.555297397769014,0.6827366735425036,128,476,10,478,100430.76923076923,0.6867128599370499,0.39999999999999997,True,True
0.5,0.5595238095238095,0.5994598849202041,0.5037037037037037,0.9754098360655737,0.6643405443126309,0.5576382380501027,0.6827366735425036,135,469,12,476,98953.84615384614,0.6867128599370499,0.42,True,True
0.52,0.5641025641025641,0.6020247530127022,0.5064935064935064,0.9590163934426229,0.6628895184135978,0.5592734225616263,0.6827366735425036,148,456,20,468,96210.98901098901,0.6867128599370499,0.44,True,True
0.55,0.5705128205128205,0.6056549234610792,0.5106145251396648,0.9364754098360656,0.660882140274765,0.561701081612058,0.6827366735425036,166,438,31,457,92413.18681318681,0.6867128599370499,0.47000000000000003,True,True
0.58,0.5915750915750916,0.6231204538052328,0.5245327102803738,0.9200819672131147,0.6681547619047619,0.5738752556231761,0.6827366735425036,197,407,39,449,85872.52747252748,0.6867128599370499,0.49999999999999994,True,True
0.6,0.5952380952380952,0.6248575073281946,0.527511961722488,0.9036885245901639,0.6661631419939577,0.5754175365338909,0.6827366735425036,209,395,47,441,83340.65934065935,0.6867128599370499,0.52,True,True
0.62,0.5961538461538461,0.624307892736945,0.5286236297198539,0.889344262295082,0.6631016042780749,0.5752916224808791,0.6827366735425036,217,387,54,434,81652.74725274726,0.6867128599370499,0.54,True,True
0.65,0.6089743589743589,0.6347166431440668,0.5383647798742138,0.8770491803278688,0.6671862821512081,0.583424209377831,0.6827366735425036,237,367,60,428,77432.96703296703,0.6867128599370499,0.5700000000000001,True,True
0.68,0.6208791208791209,0.6421330474432743,0.5494652406417112,0.8422131147540983,0.6650485436893204,0.5905172413787075,0.6827366735425036,267,337,77,411,71103.29670329671,0.6867128599370499,0.6000000000000001,True,True
0.7,0.6391941391941391,0.6575086852676149,0.5656424581005587,0.8299180327868853,0.6727574750830565,0.6041169451067766,0.6827366735425036,293,311,83,405,65617.58241758241,0.6867128599370499,0.62,True,True
0.72,0.6401098901098901,0.6534171099772011,0.5714285714285714,0.7786885245901639,0.6591500433651344,0.6035578144847326,0.6827366735425036,319,285,108,380,60131.868131868134,0.6867128599370499,0.64,True,True
0.75,0.6437728937728938,0.6502347736402128,0.5831932773109244,0.7110655737704918,0.6408125577100646,0.6049511854944126,0.6827366735425036,356,248,141,347,52325.27472527472,0.6867128599370499,0.67,True,True
0.78,0.684981684981685,0.6798121810878297,0.652542372881356,0.6311475409836066,0.6416666666666667,0.6481481481473322,0.6827366735425036,440,164,180,308,34602.1978021978,0.6867128599370499,0.7000000000000001,True,True
0.8,0.6804029304029304,0.6705569427857996,0.6635294117647059,0.5778688524590164,0.6177437020810514,0.6444241316261903,0.6827366735425036,461,143,206,282,30171.428571428572,0.6867128599370499,0.7200000000000001,True,True
0.82,0.6611721611721612,0.6447114862664206,0.6638888888888889,0.48975409836065575,0.5636792452830188,0.6198132780073535,0.6827366735425036,483,121,249,239,25529.670329670327,0.6867128599370499,0.74,True,True
0.85,0.6272893772893773,0.6028661383128868,0.6431095406360424,0.3729508196721312,0.4721141374837873,0.561728395060676,0.6827366735425036,503,101,306,182,21309.89010989011,0.6867128599370499,0.77,True,True
0.88,0.6071428571428571,0.5696992726088372,0.6928104575163399,0.21721311475409835,0.33073322932917315,0.48181818181694774,0.6827366735425036,557,47,382,106,9916.483516483517,0.6867128599370499,0.8,True,True
0.9,0.5677655677655677,0.5234773640212789,0.5909090909090909,0.10655737704918032,0.18055555555555555,0.3095238095225923,0.6827366735425036,568,36,436,52,7595.604395604396,0.6867128599370499,0.8200000000000001,True,True
